rule_id,visual,answer,most_frequent_output,correctness
85,circle,D,C,False
28,circle,A,A,True
60,color,A,C,False
43,leftright,B,C,False
30,circle,B,B,True
46,color,B,D,False
99,color,B,B,True
132,color,D,C,False
215,color,C,C,True
72,circle,C,B,False
270,leftright,A,A,True
255,leftright,D,D,True
331,circle,A,A,True
32,leftright,B,A,False
170,leftright,C,C,True
63,circle,B,D,False
160,leftright,C,B,False
91,color,C,D,False
180,color,A,B,False
248,color,A,B,False
272,circle,C,B,False
75,color,B,C,False
319,circle,D,B,False
9,color,B,C,False
128,circle,B,B,True
322,color,C,B,False
199,leftright,B,B,True
61,color,D,D,True
203,leftright,B,B,True
312,circle,C,C,True
154,leftright,C,C,True
127,color,A,D,False
211,color,B,B,True
303,leftright,C,C,True
72,leftright,A,D,False
225,leftright,B,B,True
254,leftright,C,C,True
7,circle,D,A,False
244,leftright,B,B,True
96,color,B,B,True
27,leftright,A,C,False
278,color,A,C,False
330,color,A,D,False
74,color,C,C,True
83,leftright,D,B,False
123,color,A,C,False
326,leftright,C,D,False
86,leftright,D,D,True
319,color,C,B,False
275,circle,C,B,False
289,color,B,D,False
247,leftright,A,B,False
130,circle,B,C,False
146,leftright,C,D,False
268,leftright,A,A,True
162,color,A,C,False
151,circle,C,A,False
310,leftright,D,C,False
102,circle,C,B,False
38,color,A,C,False
302,circle,B,D,False
264,leftright,D,A,False
152,color,B,B,True
181,circle,C,A,False
234,color,D,C,False
114,circle,D,C,False
335,circle,A,C,False
108,leftright,B,A,False
78,leftright,B,A,False
35,color,A,A,True
315,leftright,B,A,False
9,circle,C,A,False
98,leftright,D,D,True
217,color,C,D,False
130,color,C,A,False
20,circle,B,C,False
274,color,B,D,False
6,color,C,C,True
38,leftright,D,B,False
246,circle,B,D,False
207,color,D,D,True
328,circle,D,C,False
203,color,D,D,True
211,leftright,C,B,False
270,color,D,D,True
262,color,B,B,True
111,circle,A,C,False
274,circle,A,B,False
189,leftright,B,A,False
48,color,C,D,False
174,leftright,C,B,False
259,color,B,C,False
309,circle,B,B,True
191,circle,B,C,False
95,leftright,B,B,True
158,color,A,C,False
110,color,A,D,False
301,color,B,C,False
13,circle,C,B,False
19,leftright,C,B,False
103,color,D,D,True
224,circle,A,C,False
242,color,C,B,False
18,circle,C,C,True
124,color,C,A,False
76,circle,A,D,False
114,leftright,A,D,False
174,color,D,D,True
191,leftright,D,C,False
30,leftright,C,C,True
84,circle,A,C,False
154,circle,A,A,True
258,color,D,D,True
193,leftright,C,A,False
110,circle,D,C,False
257,color,B,C,False
11,circle,A,C,False
234,circle,A,A,True
113,color,A,C,False
52,leftright,D,C,False
203,circle,C,C,True
69,color,A,B,False
148,circle,D,B,False
168,circle,B,B,True
123,leftright,A,C,False
146,color,A,A,True
126,leftright,A,C,False
186,color,B,D,False
166,color,A,A,True
261,color,D,C,False
161,leftright,C,B,False
46,leftright,A,A,True
116,circle,C,C,True
35,circle,D,D,True
62,leftright,B,C,False
101,circle,B,D,False
294,color,C,D,False
199,circle,A,B,False
271,color,C,C,True
240,color,A,A,True
105,leftright,D,C,False
252,circle,B,D,False
20,leftright,C,A,False
53,circle,C,C,True
174,circle,B,B,True
47,circle,B,B,True
112,leftright,D,A,False
30,color,D,D,True
316,circle,A,B,False
255,color,D,D,True
293,leftright,D,B,False
22,color,B,C,False
184,leftright,D,A,False
280,leftright,C,B,False
10,circle,D,C,False
11,color,C,D,False
59,color,C,D,False
281,color,B,B,True
273,circle,D,C,False
247,circle,A,C,False
201,circle,D,D,True
305,circle,D,A,False
159,leftright,A,C,False
260,color,A,D,False
307,color,D,C,False
287,circle,C,B,False
100,circle,C,C,True
277,color,A,A,True
68,color,B,C,False
43,circle,A,A,True
89,leftright,B,D,False
325,leftright,D,C,False
170,color,D,D,True
52,color,D,C,False
184,circle,C,B,False
334,leftright,C,B,False
129,leftright,C,A,False
107,circle,C,D,False
157,leftright,A,B,False
267,color,B,C,False
93,color,A,B,False
41,color,A,C,False
80,circle,B,D,False
315,circle,C,D,False
151,color,A,C,False
306,circle,D,B,False
251,circle,C,B,False
17,leftright,B,B,True
284,leftright,C,C,True
95,color,A,B,False
254,circle,B,B,True
33,circle,C,C,True
208,color,A,D,False
197,color,B,B,True
35,leftright,B,B,True
238,color,A,C,False
221,circle,A,D,False
113,circle,C,B,False
54,leftright,A,B,False
263,leftright,C,B,False
191,color,A,C,False
155,leftright,D,D,True
73,circle,C,A,False
324,leftright,D,B,False
281,circle,A,A,True
243,leftright,D,A,False
195,circle,A,B,False
26,circle,C,B,False
29,leftright,A,B,False
213,leftright,D,C,False
282,leftright,B,D,False
280,color,C,C,True
318,color,D,C,False
189,circle,B,D,False
69,circle,A,C,False
16,leftright,D,B,False
60,leftright,A,B,False
120,leftright,A,B,False
171,leftright,A,C,False
265,leftright,C,A,False
251,color,C,B,False
321,circle,D,B,False
78,circle,B,A,False
297,circle,A,C,False
195,color,B,B,True
39,leftright,A,A,True
92,color,D,C,False
32,color,B,D,False
254,color,B,B,True
332,leftright,B,C,False
14,color,C,D,False
19,circle,A,B,False
8,leftright,D,D,True
209,color,A,B,False
34,leftright,A,A,True
198,leftright,C,C,True
70,leftright,A,C,False
159,circle,C,A,False
292,color,C,C,True
268,circle,D,D,True
165,leftright,A,B,False
31,circle,A,C,False
64,circle,C,B,False
300,color,C,C,True
260,leftright,A,C,False
229,color,B,C,False
321,leftright,C,A,False
155,color,C,C,True
110,leftright,B,D,False
248,circle,B,C,False
77,color,A,C,False
70,color,A,D,False
233,leftright,C,B,False
7,color,D,A,False
320,color,B,C,False
116,leftright,D,C,False
50,circle,C,C,True
188,leftright,D,B,False
121,leftright,C,B,False
79,circle,C,B,False
291,leftright,C,B,False
176,circle,A,B,False
24,circle,D,C,False
223,color,C,B,False
147,leftright,B,C,False
307,leftright,B,C,False
326,color,C,B,False
300,circle,C,C,True
215,circle,B,B,True
223,circle,D,A,False
183,leftright,B,C,False
166,leftright,B,B,True
173,circle,A,C,False
194,color,C,D,False
273,leftright,B,A,False
124,circle,D,B,False
169,circle,C,D,False
271,leftright,D,D,True
126,circle,D,C,False
157,color,D,C,False
70,circle,A,C,False
175,color,D,C,False
173,color,A,C,False
256,color,A,B,False
226,circle,B,C,False
287,color,D,D,True
279,circle,A,B,False
175,leftright,A,B,False
74,circle,A,D,False
108,color,A,D,False
55,color,A,A,True
253,color,C,C,True
316,color,B,D,False
32,circle,A,D,False
306,color,D,D,True
28,leftright,D,C,False
125,circle,A,A,True
234,leftright,A,A,True
240,leftright,D,A,False
117,color,C,D,False
37,circle,B,A,False
246,leftright,A,D,False
233,color,A,D,False
302,color,A,D,False
305,leftright,C,A,False
321,color,C,C,True
57,leftright,C,B,False
299,leftright,B,D,False
213,circle,A,A,True
227,color,C,C,True
18,leftright,D,C,False
15,color,D,B,False
177,circle,B,C,False
226,leftright,D,C,False
172,color,B,D,False
296,color,D,C,False
39,circle,B,B,True
176,leftright,B,D,False
6,leftright,C,C,True
227,circle,A,C,False
253,circle,B,D,False
230,leftright,C,D,False
97,circle,D,A,False
168,color,A,D,False
7,leftright,D,C,False
227,leftright,A,C,False
304,color,B,B,True
160,circle,B,C,False
283,circle,B,D,False
202,circle,D,D,True
116,color,A,D,False
94,leftright,A,B,False
177,color,B,D,False
111,leftright,B,B,True
34,color,B,B,True
206,circle,A,B,False
236,color,C,D,False
49,color,B,C,False
216,leftright,A,A,True
33,color,A,D,False
237,circle,C,A,False
37,color,B,A,False
172,leftright,C,B,False
57,circle,B,B,True
189,color,A,B,False
